 Rashmis-MacBook-Pro:lab rashmisharma$ sudo python socket-mon.py 
 
 
"pid","laddr","raddr","status"
"20211","192.168.1.12@65033","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64956","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64837","198.41.30.200@443","CLOSE_WAIT"
"20211","192.168.1.12@64960","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64959","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64957","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64874","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64877","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64879","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64878","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64880","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64881","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64884","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64886","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64888","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64890","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64892","198.41.30.197@80","CLOSE_WAIT"
"20211","192.168.1.12@64893","198.41.30.197@80","CLOSE_WAIT"
"20211","127.0.0.1@65047","127.0.0.1@65048","ESTABLISHED"
"20211","127.0.0.1@65051","127.0.0.1@65052","ESTABLISHED"
"20211","192.168.1.12@55121","192.30.253.113@443","CLOSE_WAIT"
"14974","192.168.1.12@55150","173.194.203.109@993","ESTABLISHED"
"14974","192.168.1.12@53943","173.194.203.109@993","ESTABLISHED"
"14974","192.168.1.12@55150","173.194.203.109@993","ESTABLISHED"
"14974","192.168.1.12@53943","173.194.203.109@993","ESTABLISHED"
"14974","192.168.1.12@54709","74.125.28.109@993","ESTABLISHED"
"14974","192.168.1.12@53940","173.194.203.109@993","ESTABLISHED"
"14974","192.168.1.12@54709","74.125.28.109@993","ESTABLISHED"
"14974","192.168.1.12@53940","173.194.203.109@993","ESTABLISHED"
"49232","192.168.1.12@54025","54.175.24.101@443","ESTABLISHED"
"49232","192.168.1.12@54025","54.175.24.101@443","ESTABLISHED"
"49232","192.168.1.12@59202","52.202.74.156@443","ESTABLISHED"
"49232","192.168.1.12@59201","52.73.164.50@443","ESTABLISHED"
"49232","192.168.1.12@59201","52.73.164.50@443","ESTABLISHED"
"49232","192.168.1.12@59202","52.202.74.156@443","ESTABLISHED"
"452","192.168.1.12@60197","173.194.203.125@5223","ESTABLISHED"
"452","192.168.1.12@60198","173.194.203.125@5223","ESTABLISHED"
"452","192.168.1.12@60197","173.194.203.125@5223","ESTABLISHED"
"452","192.168.1.12@60198","173.194.203.125@5223","ESTABLISHED"
"13320","192.168.1.12@55060","54.254.164.193@80","ESTABLISHED"
"13320","192.168.1.12@55100","74.125.28.154@80","ESTABLISHED"
"13320","192.168.1.12@55130","54.165.4.58@443","ESTABLISHED"
"13320","192.168.1.12@55010","216.58.195.78@443","ESTABLISHED"
"16013","192.168.1.12@59751","74.125.199.109@993","ESTABLISHED"
"16013","192.168.1.12@59748","74.125.199.109@993","ESTABLISHED"
"16013","192.168.1.12@59751","74.125.199.109@993","ESTABLISHED"
"16013","192.168.1.12@59748","74.125.199.109@993","ESTABLISHED"
"5007","192.168.1.12@54969","50.17.180.149@443","ESTABLISHED"
"5007","192.168.1.12@54969","50.17.180.149@443","ESTABLISHED"
"5007","192.168.1.12@55117","54.175.133.219@443","ESTABLISHED"
"5007","192.168.1.12@55117","54.175.133.219@443","ESTABLISHED"
"70","192.168.1.12@59044","17.249.28.25@5223","ESTABLISHED"
"70","192.168.1.12@59044","17.249.28.25@5223","ESTABLISHED"
"70","192.168.1.12@59163","17.188.166.16@5223","ESTABLISHED"
"70","192.168.1.12@59163","17.188.166.16@5223","ESTABLISHED"
"56094","192.168.1.12@53883","192.30.253.124@443","ESTABLISHED"
"56094","192.168.1.12@53883","192.30.253.124@443","ESTABLISHED"
"5029","127.0.0.1@51073","127.0.0.1@51120","ESTABLISHED"
"56027","192.168.1.12@53777","54.254.108.144@8080","ESTABLISHED"
"56027","192.168.1.12@53777","54.254.108.144@8080","ESTABLISHED"
"56054","192.168.1.12@55131","192.30.253.124@443","ESTABLISHED"
"56054","192.168.1.12@55131","192.30.253.124@443","ESTABLISHED"
"4993","127.0.0.1@51120","127.0.0.1@51073","ESTABLISHED"
"20238","127.0.0.1@65052","127.0.0.1@65051","ESTABLISHED"
"20231","127.0.0.1@65048","127.0.0.1@65047","ESTABLISHED"
"19382","192.168.1.12@55044","216.58.195.78@443","ESTABLISHED"
"483","192.168.1.12@55065","17.248.128.175@443","ESTABLISHED"
"611","192.168.1.12@55127","17.249.9.246@443","ESTABLISHED"
"4991","192.168.1.12@51044","52.4.219.182@443","CLOSE_WAIT"
